event_id,areaperil_id,intensity_bin_id,probability
1,1,6,1
1,2,7,1
1,3,7,1
1,4,7,1
1,5,7,1
1,6,7,1
1,7,7,1
1,8,7,1
1,9,7,1
1,10,7,1
1,11,6,1
1,12,6,1
1,13,6,1
1,14,7,1
1,15,7,1
1,16,7,1
1,17,7,1
1,18,7,1
1,19,7,1
1,20,7,1
1,21,6,1
1,22,6,1
1,23,6,1
1,24,6,1
1,25,6,1
1,26,6,1
1,27,6,1
1,28,6,1
1,29,6,1
1,30,6,1
1,31,6,1
1,32,6,1
1,33,6,1
1,34,6,1
1,35,6,1
1,36,6,1
1,37,6,1
1,38,6,1
1,39,6,1
1,40,6,1
1,41,6,1
1,42,6,1
1,43,6,1
1,44,6,1
1,45,6,1
1,46,6,1
1,47,6,1
1,48,6,1
1,49,6,1
1,50,6,1
1,51,6,1
1,52,6,1
1,53,6,1
1,54,6,1
1,55,6,1
1,56,6,1
1,57,6,1
1,58,6,1
1,59,6,1
1,60,6,1
1,61,5,1
1,62,6,1
1,63,6,1
1,64,6,1
1,65,6,1
1,66,6,1
1,67,6,1
1,68,6,1
1,69,6,1
1,70,6,1
1,71,5,1
1,72,5,1
1,73,5,1
1,74,5,1
1,75,5,1
1,76,6,1
1,77,6,1
1,78,5,1
1,79,5,1
1,80,5,1
1,81,5,1
1,82,5,1
1,83,5,1
1,84,5,1
1,85,5,1
1,86,5,1
1,87,5,1
1,88,5,1
1,89,5,1
1,90,5,1
1,91,5,1
1,92,5,1
1,93,5,1
1,94,5,1
1,95,5,1
1,96,5,1
1,97,5,1
1,98,5,1
1,99,5,1
1,100,5,1
1,101,5,1
1,102,5,1
1,103,5,1
1,104,5,1
1,105,5,1
1,106,5,1
1,107,5,1
1,108,5,1
1,109,5,1
1,110,5,1
2,1,10,1
2,2,10,1
2,3,10,1
2,4,11,1
2,5,12,1
2,6,11,1
2,7,11,1
2,8,10,1
2,9,9,1
2,10,8,1
2,11,11,1
2,12,11,1
2,13,11,1
2,14,12,1
2,15,11,1
2,16,11,1
2,17,10,1
2,18,10,1
2,19,10,1
2,20,9,1
2,21,12,1
2,22,12,1
2,23,11,1
2,24,11,1
2,25,11,1
2,26,10,1
2,27,10,1
2,28,10,1
2,29,10,1
2,30,9,1
2,31,11,1
2,32,11,1
2,33,11,1
2,34,11,1
2,35,10,1
2,36,10,1
2,37,9,1
2,38,10,1
2,39,10,1
2,40,9,1
2,41,10,1
2,42,10,1
2,43,10,1
2,44,10,1
2,45,9,1
2,46,9,1
2,47,9,1
2,48,10,1
2,49,10,1
2,50,9,1
2,51,9,1
2,52,9,1
2,53,9,1
2,54,9,1
2,55,8,1
2,56,8,1
2,57,9,1
2,58,10,1
2,59,10,1
2,60,9,1
2,61,10,1
2,62,8,1
2,63,8,1
2,64,8,1
2,65,8,1
2,66,9,1
2,67,10,1
2,68,10,1
2,69,10,1
2,70,9,1
2,71,10,1
2,72,10,1
2,73,9,1
2,74,9,1
2,75,9,1
2,76,10,1
2,77,10,1
2,78,10,1
2,79,9,1
2,80,9,1
2,81,10,1
2,82,10,1
2,83,10,1
2,84,10,1
2,85,10,1
2,86,10,1
2,87,10,1
2,88,10,1
2,89,9,1
2,90,8,1
2,91,10,1
2,92,10,1
2,93,10,1
2,94,10,1
2,95,10,1
2,96,10,1
2,97,9,1
2,98,9,1
2,99,8,1
2,100,8,1
2,101,9,1
2,102,9,1
2,103,9,1
2,104,9,1
2,105,9,1
2,106,9,1
2,107,9,1
2,108,8,1
2,109,8,1
2,110,8,1
3,1,5,1
3,2,5,1
3,3,5,1
3,4,4,1
3,5,4,1
3,6,4,1
3,7,3,1
3,8,3,1
3,9,2,1
3,10,2,1
3,11,5,1
3,12,4,1
3,13,5,1
3,14,5,1
3,15,4,1
3,16,4,1
3,17,4,1
3,18,3,1
3,19,3,1
3,20,2,1
3,21,4,1
3,22,5,1
3,23,5,1
3,24,5,1
3,25,5,1
3,26,5,1
3,27,4,1
3,28,4,1
3,29,3,1
3,30,3,1
3,31,5,1
3,32,5,1
3,33,4,1
3,34,4,1
3,35,5,1
3,36,5,1
3,37,5,1
3,38,4,1
3,39,3,1
3,40,3,1
3,41,5,1
3,42,4,1
3,43,2,1
3,44,2,1
3,45,2,1
3,46,5,1
3,47,5,1
3,48,4,1
3,49,4,1
3,50,3,1
3,51,5,1
3,52,4,1
3,53,2,1
3,54,2,1
3,55,1,1
3,56,5,1
3,57,5,1
3,58,4,1
3,59,4,1
3,60,3,1
3,61,5,1
3,62,5,1
3,63,2,1
3,64,2,1
3,65,3,1
3,66,5,1
3,67,5,1
3,68,4,1
3,69,4,1
3,70,3,1
3,71,5,1
3,72,5,1
3,73,5,1
3,74,4,1
3,75,5,1
3,76,5,1
3,77,5,1
3,78,4,1
3,79,3,1
3,80,3,1
3,81,4,1
3,82,5,1
3,83,5,1
3,84,5,1
3,85,5,1
3,86,5,1
3,87,4,1
3,88,4,1
3,89,3,1
3,90,3,1
3,91,4,1
3,92,4,1
3,93,4,1
3,94,4,1
3,95,4,1
3,96,4,1
3,97,4,1
3,98,4,1
3,99,4,1
3,100,3,1
3,101,3,1
3,102,4,1
3,103,4,1
3,104,4,1
3,105,4,1
3,106,4,1
3,107,4,1
3,108,4,1
3,109,4,1
3,110,4,1
4,1,8,1
4,2,9,1
4,3,10,1
4,4,11,1
4,5,11,1
4,6,10,1
4,7,10,1
4,8,11,1
4,9,10,1
4,10,9,1
4,11,8,1
4,12,10,1
4,13,10,1
4,14,10,1
4,15,8,1
4,16,9,1
4,17,9,1
4,18,10,1
4,19,11,1
4,20,10,1
4,21,9,1
4,22,10,1
4,23,11,1
4,24,9,1
4,25,7,1
4,26,8,1
4,27,8,1
4,28,8,1
4,29,11,1
4,30,10,1
4,31,9,1
4,32,10,1
4,33,11,1
4,34,9,1
4,35,6,1
4,36,7,1
4,37,7,1
4,38,7,1
4,39,10,1
4,40,10,1
4,41,9,1
4,42,10,1
4,43,11,1
4,44,10,1
4,45,7,1
4,46,7,1
4,47,7,1
4,48,9,1
4,49,11,1
4,50,10,1
4,51,8,1
4,52,9,1
4,53,10,1
4,54,11,1
4,55,10,1
4,56,9,1
4,57,10,1
4,58,10,1
4,59,10,1
4,60,10,1
4,61,8,1
4,62,9,1
4,63,10,1
4,64,10,1
4,65,11,1
4,66,11,1
4,67,11,1
4,68,10,1
4,69,10,1
4,70,9,1
4,71,8,1
4,72,8,1
4,73,9,1
4,74,10,1
4,75,10,1
4,76,10,1
4,77,10,1
4,78,10,1
4,79,9,1
4,80,8,1
4,81,8,1
4,82,9,1
4,83,10,1
4,84,11,1
4,85,11,1
4,86,11,1
