index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
38,39,-61.57929509987702,15.837828511499428,125.48157589603052,34.89872008192506,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
39,40,-61.57992465227449,15.747450024714707,114.42779920553528,43.680562486801534,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
40,41,-61.48041067418749,16.560166435247872,103.47675837603272,51.89725114545369,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
41,42,-61.48111659226007,16.46979803624475,116.66113359301532,42.03309120925919,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
42,43,-61.48181810201905,16.379428835647584,127.78468839335419,32.284583922013915,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
43,44,-61.48251521299376,16.289058837443594,121.40664314186698,22.800672873150333,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
44,45,-61.48320793464357,16.198688045627296,86.5251225000422,14.124974178911957,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
45,46,-61.48389627635813,16.108316464200282,87.4221866844147,9.012886696362484,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
46,47,-61.484580247457714,16.017944097171345,86.8919430709611,12.846301941542324,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
47,48,-61.485259857193554,15.927570948556388,115.8295237274273,21.234547298875054,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
48,49,-61.48593511474818,15.837197022378342,128.71324288184886,30.641030185522247,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
49,50,-61.48660602923569,15.746822322667251,118.89650055711299,40.36003793930821,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
50,51,-61.386714530808604,16.559462430220478,104.47085107047022,51.12396051215973,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
51,52,-61.387463957721685,16.469098087274826,117.94689156918338,41.07521208296998,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
52,53,-61.38820870482575,16.378732939115753,128.53994897595834,31.027983707147317,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
53,54,-61.38894878223608,16.28836698975499,114.74718226093123,20.98458275468895,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
54,55,-61.389684199993646,16.19800024321136,83.78306997822229,10.955776283002079,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
55,56,-61.390414968065485,16.1076327035108,86.29825442001611,1.3303628445490974,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
56,57,-61.39114109634499,16.0172643746863,87.33662568510388,9.250962309966631,74.08000183,66.4,1.5528188882522498,1,10,82.5,87.5,85,1202
57,58,-61.391862594652245,15.926895260777869,105.71041431609672,19.273437961457176,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
58,59,-61.39257947273443,15.836525365832534,129.05453401132038,29.316040219195003,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
59,60,-61.39329174026606,15.74615469390427,120.19920852618795,39.363431076521614,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
60,61,-61.29302307747523,16.558716333676163,102.9841679750779,52.283444350808026,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
61,62,-61.293816003038984,16.46835628912635,116.01617427671724,42.51038849893568,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
62,63,-61.2946039773729,16.37799543552799,127.3170366141624,32.90513448695264,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
63,64,-61.29538701117793,16.287633776918724,123.71043601097946,23.6729378710008,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
64,65,-61.29616511507633,16.1972713173432,93.80527353077876,15.495761680941268,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
