index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
73,74,-61.20183017007242,16.286859208406884,69.97141779152666,69.01434881623639,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
74,75,-61.2026509495677,16.196501277434336,64.11216980109246,78.90619415626281,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
75,76,-61.20346654010144,16.10614254557829,59.12066173619792,88.83382802816148,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
76,77,-61.2042769527122,16.015783016924487,54.84646471532583,98.78648660587228,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
77,78,-61.20508219835677,15.925422695565516,51.35045618408676,107.67730484096232,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
78,79,-61.205882287910576,15.835061585600796,48.63220745037738,115.93160664382376,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
79,80,-61.20667723216801,15.744699691136532,46.12764573382046,124.45024795665417,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
80,81,-61.10565532890542,16.557097905198574,89.34216501792356,44.12008519605184,66.23915023749144,69.45,1.3724764887512442,1,11,87.5,92.5,90,1202
81,82,-61.1065352188415,16.466747184208106,81.75634419411708,52.949405567900264,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
82,83,-61.1074096149475,16.37639564585213,74.64484808365883,62.150837951002906,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
83,84,-61.10827852909438,16.28604329422447,68.44597485307025,71.12251462114592,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
84,85,-61.10914197306594,16.195690133425792,64.37233618727755,78.07813588503734,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
85,86,-61.10999995855911,16.105336167563586,60.44247633659597,85.65009660171522,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
86,87,-61.11085249718454,16.01498140075212,56.76412336844935,93.68910476024482,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
87,88,-61.11169960046676,15.92462583711243,53.38119146001983,102.08490685729956,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
88,89,-61.112541279844805,15.834269480772273,50.2998120942919,110.75641552943003,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
