Year,Month,Day,Hour,Lat,Lon,Vmax_ms,RMW_km,B,V,category,geometry_x,geometry_y,AREA_PERIL_ID,Centro_Lon,Centro_Lat,r_km,Vc_ms,Vc_mph
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.66843481485478 16.47107235097496),22,-61.668434814854784,16.471072350974964,58.926640984929506,39.67591854003899,77.12381573657687
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.66904982192204 16.38069577209567),23,-61.669049821922044,16.38069577209567,68.96177400135333,36.06572230290875,70.10615566440147
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.66966097222976 16.29031840215589),24,-61.669660972229764,16.29031840215589,79.0014156034057,33.00755099146216,64.16154620370615
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.67026827407304 16.1999402451057),25,-61.67026827407304,16.199940245105697,89.04406931298097,30.41559618329319,59.12318912519194
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.67087173568585 16.10956130490248),26,-61.67087173568585,16.109561304902485,99.08884476437335,28.203990207452335,54.82417102960497
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.6714713652413 16.01918158551094),27,-61.671471365241295,16.019181585510943,109.1351790651016,26.300667717195193,51.12440808958029
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.67206717085197 15.92880109090301),28,-61.67206717085197,15.928801090903006,119.18269889226804,24.648151729252195,47.91217398774725
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.67265916057018 15.83841982505785),29,-61.672659160570184,15.838419825057851,129.23114684962115,23.201246520869628,45.09961526734917
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.67324734238824 15.74803779196182),30,-61.673247342388244,15.748037791961822,139.28033967380028,21.924421402635296,42.61766579345954
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57411123552701 16.56082833964721),31,-61.574111235527006,16.560828339647205,50.65360585464514,43.091599406118476,83.76336817604023
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57477363515943 16.47045612698255),32,-61.57477363515943,16.470456126982555,60.390635994119066,39.11231188089289,76.02825203629288
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57543189804404 16.3800831161273),33,-61.57543189804404,16.380083116127295,70.21664885370379,35.654801443508575,69.30738941502747
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57608603312389 16.2897093110457),34,-61.57608603312389,16.289709311045698,80.09893558146022,32.70319589914688,63.569927233762826
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57673604927639 16.19933471570928),35,-61.57673604927639,16.199334715709284,90.0189930536972,30.18552876750835,58.67597384612854
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57738195531345 16.10895933409685),36,-61.57738195531345,16.108959334096852,99.96560262780748,28.026520423731064,54.479197367943755
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57802375998198 16.01858317019441),37,-61.57802375998198,16.01858317019441,109.93158002586009,26.16118833964497,50.85328186972024
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57866147196397 15.92820622799515),38,-61.57866147196397,15.928206227995146,119.91211707439344,24.53667309803857,47.69547686443783
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57929509987702 15.83782851149943),39,-61.57929509987702,15.837828511499428,129.90387697481756,23.11080402539112,44.92380912063068
1998,9,21,4,17.0,-61.7,51.44444444444444,27.860518256307962,1.6367666666666667,51.44444444444444,3,POINT (-61.7 17),POINT (-61.57992465227449 15.74745002471471),40,-61.57992465227449,15.747450024714707,139.9044727278141,21.850062591560192,42.47312382808676
