PERIL_ID,COVERAGE_TYPE,LON1,LAT1,LON2,LAT2,LON3,LAT3,LON4,LAT4,AREA_PERIL_ID
WTC,1,-61.90183785597682,16.608004872539727,-61.80810209963086,16.60748890080175,-61.80865739663894,16.517108611591134,-61.90234946948855,16.517621617127034,1
WTC,1,-61.90234946948855,16.517621617127034,-61.80865739663894,16.517108611591134,-61.80920923233432,16.426727529799336,-61.90285789376074,16.4272375717889,2
WTC,1,-61.90285789376074,16.4272375717889,-61.80920923233432,16.426727529799336,-61.80975761422063,16.336345659335734,-61.90336313570762,16.336852740416795,3
WTC,1,-61.90336313570762,16.336852740416795,-61.80975761422063,16.336345659335734,-61.81030254974645,16.24596300411721,-61.90386520219261,16.246467126909735,4
WTC,1,-61.90386520219261,16.246467126909735,-61.81030254974645,16.24596300411721,-61.81084404630549,16.15557956806808,-61.90436410002868,16.156080735174232,5
WTC,1,-61.90436410002868,16.156080735174232,-61.81084404630549,16.15557956806808,-61.811382111237016,16.065195355120036,-61.90485983597848,16.065693569124257,6
WTC,1,-61.90485983597848,16.065693569124257,-61.811382111237016,16.065195355120036,-61.81191675182588,15.974810369212204,-61.90535241675463,15.975305632681248,7
WTC,1,-61.90535241675463,15.975305632681248,-61.81191675182588,15.974810369212204,-61.81244797530294,15.884424614290992,-61.905841849019986,15.884916929773983,8
WTC,1,-61.905841849019986,15.884916929773983,-61.81244797530294,15.884424614290992,-61.81297578884525,15.794038094310139,-61.906328139387796,15.794527464338646,9
WTC,1,-61.906328139387796,15.794527464338646,-61.81297578884525,15.794038094310139,-61.813500199576275,15.703650813230647,-61.90681129442194,15.704137240318722,10
WTC,1,-61.80810209963086,16.60748890080175,-61.714369812206535,16.606930679463854,-61.7149687851521,16.51655359913442,-61.80865739663894,16.517108611591134,11
WTC,1,-61.80865739663894,16.517108611591134,-61.7149687851521,16.51655359913442,-61.7155640247671,16.426175723350987,-61.80920923233432,16.426727529799336,12
WTC,1,-61.80920923233432,16.426727529799336,-61.7155640247671,16.426175723350987,-61.71615553914437,16.335797056042313,-61.80975761422063,16.336345659335734,13
WTC,1,-61.80975761422063,16.336345659335734,-61.71615553914437,16.335797056042313,-61.71674333631731,16.245417601144606,-61.81030254974645,16.24596300411721,14
WTC,1,-61.81030254974645,16.24596300411721,-61.71674333631731,16.245417601144606,-61.71732742426024,16.15503736260143,-61.81084404630549,16.15557956806808,15
WTC,1,-61.81084404630549,16.15557956806808,-61.71732742426024,16.15503736260143,-61.71790781088865,16.064656344363677,-61.811382111237016,16.065195355120036,16
WTC,1,-61.811382111237016,16.065195355120036,-61.71790781088865,16.064656344363677,-61.71848450405943,15.97427455038958,-61.81191675182588,15.974810369212204,17
