ID_event,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,B,geometry_x,geometry_y,AREA_PERIL_ID,Centro_Lon,Centro_Lat,r_km,Vc_ms,Vc_mph
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85523670542582 16.56256136612335),1,-61.85523670542582,16.562561366123354,2057.476602331693,3.572491787162688,6.9443684847654845
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85576849804767 16.47217916737395),2,-61.85576849804767,16.472179167373948,2054.1845526694788,3.575637052468635,6.950482391407714
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85629696899786 16.38179617934754),3,-61.85629696899786,16.381796179347543,2050.934645739422,3.578749643209085,6.956532783775759
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85682212545885 16.29141240594817),4,-61.85682212545885,16.29141240594817,2047.7270838024886,3.5818291011392698,6.962518771113052
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85734397456034 16.20102785108731),5,-61.857343974560344,16.20102785108731,2044.5620677547552,3.5848749691479194,6.968439464866366
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85786252337943 16.11064251868392),6,-61.85786252337943,16.11064251868392,2041.4397970749078,3.58788679142316,6.974293979008302
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85837777894103 16.02025641266439),7,-61.85837777894103,16.020256412664388,2038.3604697714993,3.5908641136204547,6.980081430363735
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85888974821787 15.92986953696244),8,-61.85888974821787,15.92986953696244,2035.3242823299297,3.5938064830325547,6.985800938940171
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85939843813102 15.83948189551922),9,-61.85939843813102,15.839481895519219,2032.3314296593182,3.59671344876124,6.991451628261589
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.85990385554984 15.74909349228312),10,-61.85990385554984,15.749093492283116,2029.3821050391432,3.5995845618908895,6.997032625705833
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.7615245233991 16.56202581283612),11,-61.761524523399096,16.56202581283612,2048.046088706858,3.581522505629482,6.961922797119944
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76209985971509 16.47164670024935),12,-61.76209985971509,16.471646700249348,2044.7394662973736,3.5847040576562113,6.968107239504514
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76267160260861 16.38126679563062),13,-61.762671602608606,16.38126679563062,2041.475125749895,3.5878526729862044,6.974227658072536
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76323975984918 16.29088610290258),14,-61.76323975984918,16.290886102902583,2038.2532718310347,3.5909678847224167,6.980283145248758
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76380433914935 16.20050462599526),15,-61.76380433914935,16.20050462599526,2035.0741079400952,3.594049227069783,6.98627279560001
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76436534816484 16.11012236884613),16,-61.764365348164844,16.11012236884613,2031.9378360556063,3.59709623550507,6.992195706165363
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76492279449473 16.01973933539998),17,-61.76492279449473,16.019739335399983,2028.8446566815408,3.600108446948938,6.998050976790592
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76547668568185 15.92935552960896),18,-61.765476685681854,15.929355529608964,2025.7947687933497,3.603085399940003,7.003837710466529
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76602702921298 15.83897095543247),19,-61.76602702921298,15.83897095543247,2022.7883697837556,3.6060266348108994,7.009555013671294
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.76657383251913 15.7485856168372),20,-61.76657383251913,15.748585616837197,2019.8256554083869,3.6089316938661775,7.015201996716112
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.66781594267152 16.56144813485107),21,-61.66781594267152,16.561448134851066,2038.621026238399,3.5906119213377865,6.9795912077840345
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.66843481485478 16.47107235097496),22,-61.668434814854784,16.471072350974964,2035.2997105610254,3.5938303229774493,6.985847280085755
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.66904982192204 16.38069577209567),23,-61.669049821922044,16.38069577209567,2032.0208163805412,3.597015524108409,6.992038815761486
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.66966097222976 16.29031840215589),24,-61.669660972229764,16.29031840215589,2028.784551008003,3.600167048992036,6.998164890049314
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.67026827407304 16.1999402451057),25,-61.67026827407304,16.199940245105697,2025.5911203850446,3.603284422957864,7.004224580263667
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.67087173568585 16.10956130490248),26,-61.67087173568585,16.109561304902485,2022.440729029378,3.6063671725775497,7.0102169661334655
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.6714713652413 16.01918158551094),27,-61.671471365241295,16.019181585510943,2019.3335799800304,3.609414825841074,7.016141130144636
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.67206717085197 15.92880109090301),28,-61.67206717085197,15.928801090903006,2016.269874742332,3.6124269123351085,7.021996157886821
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.67265916057018 15.83841982505785),29,-61.672659160570184,15.838419825057851,2013.2498132326791,3.6154029634234353,7.027781138404086
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.67324734238824 15.74803779196182),30,-61.673247342388244,15.748037791961822,2010.273593723083,3.6183425124293525,7.033495164549497
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57411123552701 16.56082833964721),31,-61.574111235527006,16.560828339647205,2029.2015094009378,3.599760576207323,6.997374770165423
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57477363515943 16.47045612698255),32,-61.57477363515943,16.470456126982555,2025.8653785207982,3.603016401104228,7.003703587459622
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57543189804404 16.3800831161273),33,-61.57543189804404,16.380083116127295,2022.5718092716922,3.6062387600280896,7.009967352106438
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57608603312389 16.2897093110457),34,-61.57608603312389,16.289709311045698,2019.3210115486074,3.609427168204826,7.016165121780439
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57673604927639 16.19933471570928),35,-61.57673604927639,16.199334715709284,2016.1131938752744,3.612581141892333,7.0222959561622025
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57738195531345 16.10895933409685),36,-61.57738195531345,16.108959334096852,2012.9485633486859,3.6157001985585864,7.02835891728451
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57802375998198 16.01858317019441),37,-61.57802375998198,16.01858317019441,2009.8273255832496,3.618783857062169,7.034353069883266
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57866147196397 15.92820622799515),38,-61.57866147196397,15.928206227995146,2006.7496846547722,3.621831637834981,7.040277481752663
